User Question,Ground Truth SQL Query,Generated SQL by Base Model,Explanation by Base Model,Generated SQL by FT Model,Explanation by FT Model,Model that got it right
Which countries have the most delayed shipments?,"SELECT ShipCountry, COUNT(OrderID) AS DelayedShipments FROM orders WHERE ShippedDate > RequiredDate GROUP BY ShipCountry ORDER BY DelayedShipments DESC;","```sql
SELECT ShipCountry, COUNT(OrderID) AS DelayedShipments
FROM orders
WHERE ShippedDate > RequiredDate
GROUP BY ShipCountry
ORDER BY DelayedShipments DESC;
```",The generated SQL query accurately answers the user's question and matches the ground truth query in logic and outcome. Both queries count the number of delayed shipments per country and order by the descending count of delayed shipments.,"SELECT ShipCountry, COUNT(CASE WHEN ShippedDate > RequiredDate THEN 1 END) AS DelayedShipments FROM orders GROUP BY ShipCountry;","The generated SQL query does not order the results, whereas the ground truth query orders by DelayedShipments in descending order. This could affect whether it truly answers the question about which countries have the most delayed shipments.",Base
Which shipper method is used most frequently?,"SELECT ShipVia, COUNT(OrderID) AS NumberOfShipments FROM orders GROUP BY ShipVia ORDER BY NumberOfShipments DESC LIMIT 1;","```sql
SELECT ShipVia, COUNT(*) AS OrderCount
FROM orders
GROUP BY ShipVia
ORDER BY OrderCount DESC
LIMIT 1;
```",Both queries count orders grouped by ShipVia and return the ShipVia used most frequently.,"SELECT ShipVia, COUNT(OrderID) AS UsageCount FROM orders GROUP BY ShipVia ORDER BY UsageCount DESC LIMIT 1;","Both queries count the number of orders grouped by the shipping method and return the most frequently used one. They differ only in alias naming, which does not affect the result.",both
Determine the revenue generated by each product category.,"SELECT p.CategoryID, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS TotalRevenue FROM products p JOIN [Order Details] od ON p.ProductID = od.ProductID GROUP BY p.CategoryID;","```sql
SELECT products.CategoryID, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS Revenue
FROM [Order Details]
JOIN products ON [Order Details].ProductID = products.ProductID
JOIN orders ON [Order Details].OrderID = orders.OrderID
GROUP BY products.CategoryID
```","Both queries calculate the total revenue per product category using the same logic and tables, though the generated query includes an unnecessary join with 'orders'.","SELECT CategoryID, SUM([Order Details].Quantity * [Order Details].UnitPrice * (1 - [Order Details].Discount)) AS TotalRevenue FROM [Order Details] JOIN products ON [Order Details].ProductID = products.ProductID GROUP BY CategoryID;","Both queries calculate the revenue for each product category by joining the products and order details tables, and aggregating the results by CategoryID. They both perform the same calculation for TotalRevenue.",both
Which customer spent the most in June 2023?,"SELECT CustomerID, SUM(OD.UnitPrice * OD.Quantity * (1 - OD.Discount)) AS TotalSpent FROM orders O JOIN [Order Details] OD ON O.OrderID = OD.OrderID WHERE O.OrderDate BETWEEN '2023-06-01' AND '2023-06-30' GROUP BY CustomerID ORDER BY TotalSpent DESC LIMIT 1;","```sql
SELECT o.CustomerID, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS TotalSpent
FROM orders o
JOIN [Order Details] od ON o.OrderID = od.OrderID
WHERE o.OrderDate >= '2023-06-01' AND o.OrderDate < '2023-07-01'
GROUP BY o.CustomerID
ORDER BY TotalSpent DESC
LIMIT 1;
```","Both queries aim to find the customer who spent the most in June 2023 by calculating total spending per customer on orders placed within June. They differ slightly in the date range syntax but are functionally equivalent. The generated query correctly defines the date range to include all of June and orders the results by total spending, selecting the highest spender.","SELECT customers.CustomerID, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS total_spending FROM [Order Details] JOIN orders ON [Order Details].OrderID = orders.OrderID JOIN customers ON orders.CustomerID = customers.CustomerID WHERE EXTRACT(MONTH FROM orders.OrderDate) = 6 AND EXTRACT(YEAR FROM orders.OrderDate) = 2023 GROUP BY customers.CustomerID ORDER BY total_spending DESC LIMIT 1","Both queries correctly calculate the total spending by each customer for June 2023, sort the results in descending order, and limit the output to the customer with the highest spending. The only difference is the way the date is filtered.",both
Which products have less than the reorder level in stock?,SELECT ProductName FROM products WHERE UnitsInStock < ReorderLevel;,"```sql
SELECT ProductID, ProductName, UnitsInStock, ReorderLevel
FROM products
WHERE UnitsInStock < ReorderLevel;
```","Both queries identify products where the stock is less than the reorder level. The difference is that the generated query retrieves additional fields (ProductID, UnitsInStock, ReorderLevel), but this does not affect the correctness related to the user's question.",SELECT p.ProductName FROM products p WHERE p.UnitsInStock < p.ReorderLevel;,"Both queries select ProductName from products where UnitsInStock is less than ReorderLevel, achieving the same result.",both
How many customers have more than one order in the system?,SELECT COUNT(*) FROM (SELECT c.CustomerID FROM customers c JOIN orders o ON c.CustomerID = o.CustomerID GROUP BY c.CustomerID HAVING COUNT(o.OrderID) > 1) subquery;,"```sql
SELECT COUNT(DISTINCT CustomerID) AS CustomerCount
FROM orders
GROUP BY CustomerID
HAVING COUNT(OrderID) > 1;
```",Both queries count distinct customers with more than one order by grouping customers and applying a HAVING clause on the order count.,"SELECT COUNT(DISTINCT CustomerID) AS CustomerCount FROM (SELECT CustomerID, COUNT(OrderID) AS OrderCount FROM orders GROUP BY CustomerID HAVING COUNT(OrderID) > 1) AS Subquery;",Both queries count distinct customers with more than one order by aggregating orders per customer and applying a count filter. They effectively yield the same results.,both
Which city received the most shipments?,"SELECT ShipCity, COUNT(*) AS Shipments FROM orders GROUP BY ShipCity ORDER BY Shipments DESC LIMIT 1","```sql
SELECT ShipCity, COUNT(OrderID) AS ShipmentCount
FROM orders
GROUP BY ShipCity
ORDER BY ShipmentCount DESC
LIMIT 1;
```",Both queries correctly count shipments per city and order the results to find the city with the most shipments. They yield the same result.,"SELECT o.ShipCity, COUNT(o.OrderID) AS number_of_shipments FROM orders o GROUP BY o.ShipCity ORDER BY number_of_shipments DESC LIMIT 1;",Both queries count the shipments per city and return the city with the most shipments. They produce the same result even though one counts OrderID and the other counts all rows.,both
What is the average order value per month?,"SELECT DATE_FORMAT(orders.OrderDate, '%Y-%m') AS Month, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) / COUNT(DISTINCT orders.OrderID) AS AvgOrderValue FROM orders JOIN [Order Details] ON orders.OrderID = [Order Details].OrderID GROUP BY DATE_FORMAT(orders.OrderDate, '%Y-%m')","```sql
SELECT 
    DATE_FORMAT(orders.OrderDate, '%Y-%m') AS Month,
    SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) / COUNT(DISTINCT orders.OrderID) AS AverageOrderValue
FROM 
    orders
JOIN 
    [Order Details] ON orders.OrderID = [Order Details].OrderID
GROUP BY 
    Month
```","Both queries calculate the average order value per month by grouping on the formatted month and dividing the total by the count of distinct order IDs, resulting in equivalent outputs.","SELECT DATE_FORMAT(orders.OrderDate, '%Y-%m') AS month, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) / COUNT(DISTINCT orders.OrderID) AS average_order_value FROM [Order Details] JOIN orders ON [Order Details].OrderID = orders.OrderID GROUP BY DATE_FORMAT(orders.OrderDate, '%Y-%m')","Both queries calculate the average order value per month by dividing the total order value by the count of distinct orders within each month. The logic and grouping are consistent, leading to the same results despite differences in SQL functions or formatting of table names.",both
Which cities have the most sales attributed to each employee?,"SELECT e.EmployeeID, o.ShipCity, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS CitySales FROM employees e JOIN orders o ON e.EmployeeID = o.EmployeeID JOIN [Order Details] od ON o.OrderID = od.OrderID GROUP BY e.EmployeeID, o.ShipCity","```sql
SELECT e.FirstName, e.LastName, o.ShipCity, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS TotalSales
FROM employees e
JOIN orders o ON e.EmployeeID = o.EmployeeID
JOIN [Order Details] od ON o.OrderID = od.OrderID
GROUP BY e.EmployeeID, o.ShipCity
ORDER BY e.EmployeeID, TotalSales DESC;
```","The generated query orders results by TotalSales within each employee, but it doesn't ensure that only the top city per employee is selected. The ground truth does not include this ordering.","SELECT e.EmployeeID, o.ShipCity, COUNT(*) AS CitySales FROM employees e JOIN orders o ON e.EmployeeID = o.EmployeeID GROUP BY e.EmployeeID, o.ShipCity ORDER BY EmployeeID, CitySales DESC;","The generated query only counts orders per city and employee, while the ground truth calculates sales based on order details, considering unit price, quantity, and discounts.",None
Find the average discount given per order for each supplier.,"SELECT s.CompanyName, AVG(d.Discount) AS AverageDiscount FROM suppliers s JOIN products p ON s.SupplierID = p.SupplierID JOIN [Order Details] d ON p.ProductID = d.ProductID JOIN orders o ON o.OrderID = d.OrderID GROUP BY s.CompanyName;","```sql
SELECT 
    s.CompanyName,
    AVG(od.Discount) as AverageDiscount
FROM 
    suppliers s
JOIN 
    products p ON s.SupplierID = p.SupplierID
JOIN 
    [Order Details] od ON p.ProductID = od.ProductID
JOIN 
    orders o ON od.OrderID = o.OrderID
GROUP BY 
    s.CompanyName;
```",The generated SQL query and the ground truth SQL query are functionally equivalent. Both queries calculate the average discount given per order for each supplier by joining the same tables and grouping by the supplier's company name.,"SELECT s.SupplierName, AVG(od.Discount) AS AverageDiscount FROM suppliers s JOIN products p ON s.SupplierID = p.SupplierID JOIN [Order Details] od ON p.ProductID = od.ProductID GROUP BY s.SupplierName;","Both queries compute the average discount per order for each supplier by joining the suppliers, products, and order details tables. Although the Generated SQL Query does not explicitly join the orders table, it is not necessary for calculating the average discount per supplier. Both use appropriate aggregation functions and group by supplier name, which will yield the same results.",both
