User Question,Ground Truth SQL Query,Generated SQL by Base Model,Explanation by Base Model,Generated SQL by FT Model,Explanation by FT Model,Model that got it right
What is the average discount applied to orders each month?,"SELECT DATE_FORMAT(orders.OrderDate, '%Y-%m') AS month, AVG([Order Details].Discount) AS avg_discount FROM [Order Details] JOIN orders ON [Order Details].OrderID = orders.OrderID WHERE YEAR(orders.OrderDate) = 2023 GROUP BY month","```sql
SELECT YEAR(orders.OrderDate) AS year, MONTH(orders.OrderDate) AS month, AVG([Order Details].Discount) AS average_discount
FROM [Order Details]
JOIN orders ON [Order Details].OrderID = orders.OrderID
GROUP BY YEAR(orders.OrderDate), MONTH(orders.OrderDate)
```","The generated query averages the discounts for all years, grouping by year and month, while the ground truth query restricts data to the year 2023 only, grouping by month.","SELECT DATE_TRUNC('month', o.OrderDate) AS Month, AVG(od.Discount) AS AvgDiscount FROM orders o JOIN [Order Details] od ON o.OrderID = od.OrderID GROUP BY Month;","The generated query does not filter for the year 2023 and uses DATE_TRUNC instead of DATE_FORMAT, which may affect the formatting of the result. These differences can lead to different outputs.",None
Which city had the highest number of orders placed?,"SELECT ShipCity, COUNT(OrderID) AS OrderCount FROM orders GROUP BY ShipCity ORDER BY OrderCount DESC LIMIT 1","```sql
SELECT ShipCity, COUNT(OrderID) AS NumberOfOrders
FROM orders
GROUP BY ShipCity
ORDER BY NumberOfOrders DESC
LIMIT 1;
```","Both queries group orders by ShipCity, count the OrderID, and then order the results by the count in descending order, limiting to the highest result. They produce the same result.","SELECT ShipCity, COUNT(OrderID) AS NumOrders FROM orders GROUP BY ShipCity ORDER BY NumOrders DESC LIMIT 1",Both queries accurately count the number of orders per city and retrieve the city with the highest count. The difference in alias names (NumOrders vs OrderCount) does not affect the result.,both
Who are the top 5 employees in terms of total sales revenue?,"SELECT e.EmployeeID, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS TotalSales FROM employees e JOIN orders o ON e.EmployeeID = o.EmployeeID JOIN [Order Details] od ON o.OrderID = od.OrderID GROUP BY e.EmployeeID ORDER BY TotalSales DESC LIMIT 5;","```sql
SELECT e.EmployeeID, e.FirstName, e.LastName, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS TotalSales
FROM employees e
JOIN orders o ON e.EmployeeID = o.EmployeeID
JOIN [Order Details] od ON o.OrderID = od.OrderID
GROUP BY e.EmployeeID
ORDER BY TotalSales DESC
LIMIT 5;
```","Both queries correctly calculate total sales revenue per employee and limit the results to the top 5, despite differences in selected columns.","SELECT employees.EmployeeID, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS TotalSales FROM employees JOIN orders ON employees.EmployeeID = orders.EmployeeID JOIN [Order Details] ON orders.OrderID = [Order Details].OrderID GROUP BY employees.EmployeeID ORDER BY TotalSales DESC LIMIT 5","Both queries calculate the total sales revenue per employee and order the results by total sales in descending order, limiting the output to the top 5 employees.",both
Which suppliers have products with zero stock available?,"SELECT s.SupplierID, s.CompanyName FROM suppliers s JOIN products p ON s.SupplierID = p.SupplierID WHERE p.UnitsInStock = 0;","```sql
SELECT s.SupplierID, s.CompanyName
FROM suppliers s
JOIN products p ON s.SupplierID = p.SupplierID
WHERE p.UnitsInStock = 0;
```",The generated SQL query correctly identifies suppliers with products that have zero stock available and matches the ground truth query in logic and outcome.,"SELECT SupplierID, CompanyName FROM suppliers JOIN products ON suppliers.SupplierID = products.SupplierID WHERE UnitsInStock = 0;","Both queries join suppliers and products tables on SupplierID and filter products with UnitsInStock equal to 0, selecting SupplierID and CompanyName.",both
What is the total number of sales per city?,"SELECT ShipCity, COUNT(OrderID) AS TotalSales FROM orders GROUP BY ShipCity;","```sql
SELECT o.ShipCity, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS TotalSales
FROM orders o
JOIN [Order Details] od ON o.OrderID = od.OrderID
GROUP BY o.ShipCity;
```","The generated query calculates the total sales value per city, while the ground truth query calculates the total number of orders per city.","SELECT ShipCity, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) as TotalSales FROM orders o JOIN [Order Details] od ON o.OrderID = od.OrderID GROUP BY ShipCity;","The generated query calculates total sales value per city, while the ground truth query counts the number of orders per city.",None
Which customers have received the largest discounts?,"SELECT c.CustomerID, MAX(od.Discount) AS MaxDiscount FROM customers c JOIN orders o ON c.CustomerID = o.CustomerID JOIN [Order Details] od ON o.OrderID = od.OrderID GROUP BY c.CustomerID ORDER BY MaxDiscount DESC;","```sql
SELECT customers.CustomerID, customers.CompanyName, SUM([Order Details].Discount) AS TotalDiscount
FROM customers
JOIN orders ON customers.CustomerID = orders.CustomerID
JOIN [Order Details] ON orders.OrderID = [Order Details].OrderID
GROUP BY customers.CustomerID, customers.CompanyName
ORDER BY TotalDiscount DESC;
```","The generated query calculates the total discount per customer, whereas the ground truth query finds the maximum discount received by each customer.","SELECT CustomerID, Discount FROM orders JOIN [Order Details] ON orders.OrderID = [Order Details].OrderID WHERE Discount = (SELECT MAX(Discount) FROM [Order Details]) ORDER BY CustomerID;",The generated query finds orders with the maximum discount but doesn't group by customer to find max discounts per customer. The ground truth query groups discounts by customer and sorts them by the maximum discount received.,None
Which customers have placed more than ten orders?,SELECT CustomerID FROM orders GROUP BY CustomerID HAVING COUNT(OrderID) > 10;,"```sql
SELECT CustomerID
FROM orders
GROUP BY CustomerID
HAVING COUNT(OrderID) > 10;
```",The generated SQL query and the ground truth query are equivalent. They both group the orders by CustomerID and filter those groups to include only customers with more than ten orders.,SELECT customers.CustomerID FROM customers JOIN orders ON customers.CustomerID = orders.CustomerID GROUP BY customers.CustomerID HAVING COUNT(orders.OrderID) > 10;,"Both queries group by CustomerID and find those with more than ten orders. The generated query uses an additional join with the 'customers' table, but it does not affect the outcome since only CustomerID is needed.",both
What is the customer lifetime value of each customer?,"SELECT customers.CustomerID, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS customer_lifetime_value FROM [Order Details] JOIN orders ON [Order Details].OrderID = orders.OrderID JOIN customers ON orders.CustomerID = customers.CustomerID GROUP BY customers.CustomerID","```sql
SELECT customers.CustomerID, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS customer_lifetime_value 
FROM [Order Details] 
JOIN orders ON [Order Details].OrderID = orders.OrderID 
JOIN customers ON orders.CustomerID = customers.CustomerID 
GROUP BY customers.CustomerID
```","The generated SQL query and the ground truth SQL query are identical in logic and structure, both correctly calculating the customer lifetime value by summing applicable order details grouped by CustomerID.","SELECT c.CustomerID, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS CustomerLifetimeValue FROM customers c JOIN orders o ON c.CustomerID = o.CustomerID JOIN [Order Details] od ON o.OrderID = od.OrderID GROUP BY c.CustomerID;","Both queries calculate the customer lifetime value by summing the revenue from order details (unit price multiplied by quantity and adjusted for any discount) and grouping by customer ID. The operations and logic are equivalent, despite differences in table aliases and order of joins.",both
What is the average number of products ordered per order?,"SELECT AVG(OrderQuantity) AS AvgProductsPerOrder FROM (SELECT OrderID, COUNT(ProductID) AS OrderQuantity FROM [Order Details] GROUP BY OrderID) AS OrderCounts;","```sql
SELECT AVG(TotalProducts) AS AverageProductsPerOrder
FROM (
    SELECT orders.OrderID, SUM([Order Details].Quantity) AS TotalProducts
    FROM orders
    JOIN [Order Details] ON orders.OrderID = [Order Details].OrderID
    GROUP BY orders.OrderID
) AS OrderSummary;
```",Both queries calculate the average number of products per order by summarizing total products ordered per order and then averaging these totals.,SELECT AVG(od.Quantity) AS AvgProductsPerOrder FROM [Order Details] od;,"The generated query calculates the average quantity per line item, not per order. The ground truth query calculates the average number of distinct products per order.",Base
Identify the top 5 products with the highest sales revenue.,"SELECT [Order Details].ProductID, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS product_sales FROM [Order Details] GROUP BY [Order Details].ProductID ORDER BY product_sales DESC LIMIT 5;","```sql
SELECT [Order Details].ProductID, 
       SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS TotalSales
FROM [Order Details]
JOIN orders ON [Order Details].OrderID = orders.OrderID
GROUP BY [Order Details].ProductID
ORDER BY TotalSales DESC
LIMIT 5;
```","The generated query includes a JOIN with the orders table, which is unnecessary for calculating product sales, unless there's a specific filter or condition in the orders table that affects the results. This might affect performance but not the result, assuming no WHERE condition is applied based on orders data. The results would be the same; however, the query is more complex than needed.","SELECT od.ProductID, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS TotalRevenue FROM [Order Details] od GROUP BY od.ProductID ORDER BY TotalRevenue DESC LIMIT 5;","Both queries calculate total sales revenue per product by summing the quantity and unit price after the discount, group by ProductID, order by the revenue in descending order, and limit to the top 5 products.",FT
