Question,Ground Truth Query,Generated Query by FT,Explanation by FT,Generated Query by Base Model,Explanation by Base Model,Model that got it right,Model that got it wrong
What was the average order value in Q1 of 2023?,SELECT SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) / COUNT(DISTINCT orders.OrderID) AS AvgOrderValue FROM orders JOIN [Order Details] ON orders.OrderID = [Order Details].OrderID WHERE OrderDate BETWEEN '2023-01-01' AND '2023-03-31',"SELECT DATE_FORMAT(o.OrderDate, '%Y-%m') as Month, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) / COUNT(DISTINCT o.OrderID) AS AverageOrderValue FROM orders o JOIN [Order Details] od ON o.OrderID = od.OrderID WHERE o.OrderDate BETWEEN '2023-01-01' AND '2023-03-31' GROUP BY Month;","The generated SQL query groups the results by month (DATE_FORMAT(o.OrderDate, '%Y-%m') as Month), which is not required by the user question. The ground truth query correctly calculates the overall average order value for the entire Q1 of 2023 without grouping by month.","```sql
SELECT 
    AVG(SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount))) AS AverageOrderValue
FROM 
    orders
JOIN 
    [Order Details] ON orders.OrderID = [Order Details].OrderID
WHERE 
    orders.OrderDate >= '2023-01-01' AND orders.OrderDate < '2023-04-01'
GROUP BY 
    orders.OrderID;
```","The generated SQL query calculates the average of sums grouped by OrderID (which is redundant) whereas the ground truth SQL query correctly averages the total order value by dividing the sum of order values by the count of distinct orders. Thus, the generated query does not accurately answer the user's question about the average order value for Q1 of 2023.",Both,None
Which products have the lowest units in stock?,"SELECT ProductID, ProductName, UnitsInStock FROM products ORDER BY UnitsInStock ASC LIMIT 1;","SELECT ProductID, ProductName FROM products ORDER BY UnitsInStock ASC;","The generated SQL query does not include the 'UnitsInStock' column, which is essential to verify that the products have the lowest stock. Additionally, it does not use the LIMIT 1 clause, which ensures only the product with the lowest units in stock is returned.","```sql
SELECT ProductID, ProductName, UnitsInStock
FROM products
ORDER BY UnitsInStock ASC
LIMIT 10;
```","The generated query returns the 10 products with the least units in stock, whereas the ground truth query returns only the single product with the least units in stock.",Both,None
Which customers placed the highest number of orders last year?,"SELECT CustomerID, COUNT(OrderID) AS OrderCount FROM orders WHERE YEAR(OrderDate) = YEAR(CURDATE()) - 1 GROUP BY CustomerID ORDER BY OrderCount DESC","SELECT CustomerID, COUNT(OrderID) AS OrdersCount FROM orders WHERE OrderDate >= DATE_SUB(CURDATE(), INTERVAL 1 YEAR) GROUP BY CustomerID ORDER BY OrdersCount DESC;","The generated SQL query does not correctly filter for orders placed only in the last calendar year. Instead, it filters for orders placed within the last 365 days from the current date, which can span across two different years. The ground truth query correctly filters for orders within the previous calendar year.","```sql
SELECT CustomerID, COUNT(OrderID) AS NumberOfOrders
FROM orders
WHERE YEAR(OrderDate) = YEAR(CURRENT_DATE) - 1
GROUP BY CustomerID
ORDER BY NumberOfOrders DESC;
```",The generated SQL query correctly counts the number of orders placed by each customer in the previous year and orders the results in descending order of the number of orders. The differences in column aliases (NumberOfOrders vs OrderCount) do not affect the correctness of the query.,Base,FT
Which customers are from the United States?,SELECT CustomerID FROM orders WHERE ShipCountry = 'USA',SELECT CustomerID FROM orders WHERE ShipCountry = 'USA';,The generated SQL query correctly identifies customers from the United States by selecting CustomerID from the orders table where the ShipCountry is 'USA'.,"```sql
SELECT DISTINCT CustomerID 
FROM orders 
WHERE ShipCountry = 'United States';
```","The generated SQL query uses 'United States' for the ShipCountry value, while the ground truth query uses 'USA'. Without knowing the exact entries in the database, these might refer to different values and thus return different results. Furthermore, the generated query uses DISTINCT, which is not necessary given the question.",FT,Base
Which employees generated the highest sales revenue in April 2023?,"SELECT employees.FirstName, employees.LastName, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS total_sales FROM [Order Details] JOIN orders ON [Order Details].OrderID = orders.OrderID JOIN employees ON orders.EmployeeID = employees.EmployeeID WHERE orders.OrderDate BETWEEN '2023-04-01' AND '2023-04-30' GROUP BY employees.EmployeeID ORDER BY total_sales DESC","SELECT employees.EmployeeID, employees.FirstName, employees.LastName, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS employee_sales FROM [Order Details] JOIN orders ON [Order Details].OrderID = orders.OrderID JOIN employees ON orders.EmployeeID = employees.EmployeeID WHERE orders.OrderDate BETWEEN '2023-04-01' AND '2023-04-30' GROUP BY employees.EmployeeID ORDER BY employee_sales DESC","Both queries correctly join the necessary tables, calculate the sales for each employee in April 2023, group by EmployeeID, and order by the sales in descending order. The difference in column selection (including EmployeeID in the generated query) does not affect the correctness regarding answering the user question.","```sql
SELECT employees.EmployeeID, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS total_sales
FROM [Order Details]
JOIN orders ON [Order Details].OrderID = orders.OrderID
JOIN employees ON orders.EmployeeID = employees.EmployeeID
WHERE orders.OrderDate BETWEEN '2023-04-01' AND '2023-04-30'
GROUP BY employees.EmployeeID
ORDER BY total_sales DESC
```","The generated SQL query correctly calculates the total sales and orders them in descending order. However, it returns 'EmployeeID' instead of 'FirstName' and 'LastName' as specified in the ground truth query. To fully answer the user's question as intended, employee names should be included.",FT,Base
Calculate the inventory turnover ratio for each month.,"SELECT DATE_FORMAT(OrderDate, '%Y-%m') as Month, SUM(od.Quantity * od.UnitPrice) / AVG(p.UnitsInStock) as InventoryTurnoverRatio FROM [Order Details] od JOIN products p ON od.ProductID = p.ProductID GROUP BY DATE_FORMAT(OrderDate, '%Y-%m');","SELECT DATE_FORMAT(o.OrderDate, '%Y-%m') AS Month, SUM(od.Quantity * od.UnitPrice) / AVG(p.UnitsInStock) AS InventoryTurnoverRatio FROM [Order Details] od JOIN products p ON od.ProductID = p.ProductID JOIN orders o ON od.OrderID = o.OrderID GROUP BY DATE_FORMAT(o.OrderDate, '%Y-%m');","The generated query includes a join with the 'orders' table and uses 'DATE_FORMAT(o.OrderDate, '%Y-%m')' in the GROUP BY clause, while the ground truth query does not include this join and uses 'DATE_FORMAT(OrderDate, '%Y-%m')' directly. This difference could potentially lead to incorrect results.","```sql
SELECT 
    MONTH(OrderDate) AS Month, 
    SUM([Order Details].Quantity * [Order Details].UnitPrice) / AVG(products.UnitsInStock) AS InventoryTurnoverRatio
FROM 
    products
JOIN 
    [Order Details] ON products.ProductID = [Order Details].ProductID
JOIN 
    orders ON [Order Details].OrderID = orders.OrderID
GROUP BY 
    MONTH(OrderDate)
```","The generated query uses MONTH(OrderDate) to group by month, which only considers the month component and not the year. Thus, it may aggregate data incorrectly across different years. The ground truth query correctly uses DATE_FORMAT to group by year and month together. Additionally, the generated query includes an extra join with the ORDERS table, which is unnecessary for the question.",Both,None
What is the performance of products based on sales and inventory levels for each month in 2022?,"SELECT products.ProductID, MONTH(orders.OrderDate) AS order_month, SUM([Order Details].Quantity) AS product_performance FROM [Order Details] JOIN products ON [Order Details].ProductID = products.ProductID JOIN orders ON [Order Details].OrderID = orders.OrderID WHERE orders.OrderDate BETWEEN '2022-01-01' AND '2022-12-31' GROUP BY products.ProductID, order_month","SELECT p.ProductID, DATE_FORMAT(o.OrderDate, '%Y-%m') AS sales_month, SUM(od.Quantity) AS product_performance, SUM(od.Quantity * od.UnitPrice) AS sales_value FROM [Order Details] od JOIN orders o ON od.OrderID = o.OrderID JOIN products p ON od.ProductID = p.ProductID WHERE o.OrderDate BETWEEN '2022-01-01' AND '2022-12-31' GROUP BY p.ProductID, sales_month ORDER BY sales_month ASC","The generated SQL query includes 'SUM(od.Quantity * od.UnitPrice) AS sales_value', which is not present in the ground truth query. Additionally, the ground truth query uses 'MONTH(orders.OrderDate)' while the generated query uses 'DATE_FORMAT(o.OrderDate, '%Y-%m')'. The generated query also orders the result set, which is not specified in the ground truth query.","```sql
SELECT products.ProductID, 
       SUM([Order Details].Quantity) AS product_performance, 
       AVG(products.UnitsInStock) AS average_inventory 
FROM [Order Details] 
JOIN products ON [Order Details].ProductID = products.ProductID 
JOIN orders ON [Order Details].OrderID = orders.OrderID 
WHERE orders.OrderDate BETWEEN '2022-01-01' AND '2022-12-31' 
GROUP BY products.ProductID, MONTH(orders.OrderDate)
```","The generated query includes an extra computation for average inventory levels, which is not asked for in the user question. Additionally, the generated SQL does not include the month of the order date in the SELECT clause, which is needed to meet the requirement of analyzing performance based on inventory levels and sales for each month in 2022.",Both,None
Which product had the highest sales quantity in the last month?,"SELECT p.ProductID, p.ProductName, SUM(od.Quantity) AS TotalQuantity FROM [Order Details] od JOIN products p ON od.ProductID = p.ProductID WHERE od.OrderDate >= DATE_SUB(CURDATE(), INTERVAL 1 MONTH) GROUP BY p.ProductID, p.ProductName ORDER BY TotalQuantity DESC LIMIT 1;","```sql
SELECT p.ProductName, SUM(od.Quantity) AS TotalQuantity FROM [Order Details] od JOIN products p ON od.ProductID = p.ProductID WHERE od.OrderDate ≥ DATE_SUB(CURRENT_DATE, INTERVAL 1 MONTH) GROUP BY p.ProductName ORDER BY TotalQuantity DESC LIMIT 1;
```","The generated SQL query has an issue with the usage of '≥' instead of '>=' which is incorrect syntax in SQL. Additionally, it does not group by 'ProductID', which could lead to incorrect results if there are products with the same name but different IDs.","```sql
SELECT p.ProductName, SUM(od.Quantity) AS TotalQuantity
FROM products p
JOIN [Order Details] od ON p.ProductID = od.ProductID
WHERE od.OrderID IN (
    SELECT DISTINCT OrderID
    FROM [Order Details]
    WHERE MONTH(OrderDate) = MONTH(CURRENT_DATE - INTERVAL 1 MONTH) 
    AND YEAR(OrderDate) = YEAR(CURRENT_DATE - INTERVAL 1 MONTH)
)
GROUP BY p.ProductID
ORDER BY TotalQuantity DESC
LIMIT 1;
```","The generated SQL query uses a subquery to filter records from the last month based on the DISTINCT OrderID with the condition on OrderDate, leading to potential complications. The WHERE clause in the ground truth is more direct and accurate as it filters records based on the OrderDate directly. Additionally, the generated query only selects ProductName, while the ground truth also considers ProductID. The ground truth also uses DATE_SUB(CURDATE(), INTERVAL 1 MONTH) which is a more straightforward approach to filter dates from the last month.",Both,None
"For each employee, what is the average number of orders handled per month in 2023?","SELECT employees.EmployeeID, AVG(order_count) AS avg_orders_per_month FROM (SELECT employees.EmployeeID, COUNT(orders.OrderID) AS order_count, MONTH(orders.OrderDate) AS order_month FROM employees LEFT JOIN orders ON employees.EmployeeID = orders.EmployeeID GROUP BY employees.EmployeeID, MONTH(orders.OrderDate)) AS temp GROUP BY employees.EmployeeID","SELECT employees.EmployeeID, COUNT(orders.OrderID) AS avg_orders_per_month FROM orders JOIN employees ON orders.EmployeeID = employees.EmployeeID WHERE YEAR(orders.OrderDate) = 2023 GROUP BY employees.EmployeeID, MONTH(orders.OrderDate) ORDER BY avg_orders_per_month DESC","The generated SQL query does not correctly calculate the average number of orders handled per month for each employee in 2023. Instead, it provides the count of orders for each employee per month, but misses aggregating these counts to compute the average per month. Additionally, it doesn't handle scenarios where there might not be any orders for certain months.","```sql
SELECT employees.EmployeeID, 
       COUNT(orders.OrderID) / 12.0 AS average_orders_per_month 
FROM orders 
JOIN employees ON orders.EmployeeID = employees.EmployeeID 
WHERE YEAR(orders.OrderDate) = 2023 
GROUP BY employees.EmployeeID;
```","The generated SQL query calculates the total number of orders handled by each employee in 2023 and then divides this number by 12 to get the average per month. This approach assumes all employees are handling orders every month and doesn't account for employees who may not handle orders in certain months. The ground truth query, on the other hand, calculates the number of orders per month for each employee and then takes the average, which is a more accurate representation of the average monthly orders for each employee.",Both,None
Which products have not been ordered in the last three months?,"SELECT ProductName FROM products WHERE ProductID NOT IN (SELECT DISTINCT ProductID FROM [Order Details] WHERE OrderID IN (SELECT OrderID FROM orders WHERE OrderDate >= DATE_SUB(CURDATE(), INTERVAL 3 MONTH)));","SELECT p.ProductName FROM products p LEFT JOIN [Order Details] od ON p.ProductID = od.ProductID WHERE od.OrderID IS NULL OR p.ProductID NOT IN (SELECT DISTINCT ProductID FROM [Order Details] WHERE DATE_SUB(CURDATE(), INTERVAL 3 MONTH) < OrderDate);",The generated SQL query does not correctly identify products which have not been ordered in the last three months. The condition 'od.OrderID IS NULL' does not correctly filter out products that have orders in the last three months. The Ground Truth SQL query correctly focuses on filtering out products based on the 'OrderDate' from the 'orders' table.,"```sql
SELECT p.ProductID, p.ProductName 
FROM products p 
LEFT JOIN [Order Details] od ON p.ProductID = od.ProductID 
WHERE od.OrderID IS NULL OR od.OrderID NOT IN (
    SELECT OrderID 
    FROM [Order Details] 
    WHERE OrderDate >= DATEADD(MONTH, -3, GETDATE())
)
```","The generated SQL query will not return the correct answer. It attempts to join products with 'Order Details' but does not include the necessary relationship with the 'orders' table to check the 'OrderDate'. Additionally, the condition 'od.OrderID IS NULL' is intended to find products that have never been ordered, which is not necessary or relevant to determining if they have been ordered in the last three months.",Both,None
